INFO  11:10:09,918 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentObjectRepository Store
INFO  11:10:09,925 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentObjectRepository opened in ..\var\mail\relay-denied
INFO  11:10:09,930 | james.mailrepositorystore | Init org.apache.james.repository.file.FilePersistentStreamRepository Store
INFO  11:10:09,932 | james.mailrepositorystore | org.apache.james.repository.file.FilePersistentStreamRepository opened in ..\var\mail\relay-denied
INFO  11:10:09,940 | james.mailrepositorystore | added repository: file://var/mail/relay-denied/->org.apache.james.mailrepository.file.FileMailRepository
INFO  11:10:09,941 | james.mailprocessor | Mailet ToRepository instantiated.
INFO  11:10:10,483 | james.mailprocessor | Matcher All instantiated.
INFO  11:10:10,566 | james.mailprocessor | Mailet DSNBounce instantiated.
INFO  11:10:10,762 | james.mailspooler | org.apache.james.mailetcontainer.impl.JamesMailSpooler init...
INFO  11:10:10,763 | james.mailspooler | org.apache.james.mailetcontainer.impl.JamesMailSpooler uses 20 Thread(s)
INFO  11:10:10,772 | james.mailspooler | Run org.apache.james.mailetcontainer.impl.JamesMailSpooler: dequeuer-1
INFO  11:10:10,779 | james.mailspooler | Queue=MailQueue:spool
INFO  11:10:10,779 | james.mailspooler | Run org.apache.james.mailetcontainer.impl.JamesMailSpooler: dequeuer-2
INFO  11:10:10,807 | james.mailspooler | Queue=MailQueue:spool
INFO  11:10:10,846 | james.fetchmail | FetchMail Disabled
INFO  11:10:10,934 | james.smtpserver | SMTP Service bound to: 0.0.0.0:25
INFO  11:10:10,951 | james.smtpserver | SMTP Service is running on: DESKTOP-4FK5MIK
INFO  11:10:10,953 | james.smtpserver | SMTP Service handler hello name is: DESKTOP-4FK5MIK
INFO  11:10:10,956 | james.smtpserver | SMTP Service handler connection timeout is: 360
INFO  11:10:10,964 | james.smtpserver | SMTP Service connection backlog is: 200
INFO  11:10:10,967 | james.smtpserver | This SMTP server requires authentication.
INFO  11:10:10,971 | james.smtpserver | No maximum message size is enforced for this server.
INFO  11:10:11,461 | james.smtpserver | Init SMTP Service done
INFO  11:10:11,486 | james.lmtpserver | LMTP Service disabled by configuration
INFO  11:10:11,518 | james.pop3server | POP3 Service bound to: 0.0.0.0:110
INFO  11:10:11,527 | james.pop3server | POP3 Service is running on: DESKTOP-4FK5MIK
INFO  11:10:11,532 | james.pop3server | POP3 Service handler hello name is: DESKTOP-4FK5MIK
INFO  11:10:11,534 | james.pop3server | POP3 Service handler connection timeout is: 1200
INFO  11:10:11,539 | james.pop3server | POP3 Service connection backlog is: 200
INFO  11:10:11,738 | james.pop3server | Init POP3 Service done
INFO  11:10:12,435 | james.imapserver | IMAP Service bound to: 0.0.0.0:143
INFO  11:10:12,449 | james.imapserver | IMAP Service is running on: DESKTOP-4FK5MIK
INFO  11:10:12,453 | james.imapserver | IMAP Service handler hello name is: DESKTOP-4FK5MIK
INFO  11:10:12,455 | james.imapserver | IMAP Service handler connection timeout is: 300
INFO  11:10:12,457 | james.imapserver | IMAP Service connection backlog is: 200
INFO  11:10:12,471 | james.imapserver | Init IMAP Service done
INFO  11:10:12,634 | james.imapserver | ID=1032351222 Connection established from 127.0.0.1
INFO  11:10:14,141 | org.apache.james.app.spring.JamesAppSpringMain | Apache James Server is successfully started in 25495 milliseconds.
INFO  11:10:21,753 | james.imapserver | ID=1032351222 Connection closed for 127.0.0.1
INFO  11:10:21,760 | james.imapserver | ID=1730344221 Connection established from 127.0.0.1
INFO  11:10:22,032 | james.imapserver | ID=1730344221 Connection closed for 127.0.0.1
INFO  11:10:22,791 | james.smtpserver | Id='935360001' User='' Connection established from 127.0.0.1
INFO  11:10:22,981 | james.smtpserver | Id='935360001' User='' Successfully spooled mail Mail1493457022916-1c534781-c095-421e-8bd1-efa6e5a88fdd from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  11:10:23,033 | james.smtpserver | Id='935360001' User='' Connection closed for 127.0.0.1
INFO  11:10:23,113 | james.imapserver | ID=1752450451 Connection established from 127.0.0.1
INFO  11:10:24,154 | james.mailetcontext | Local delivered mail Mail1493457022916-1c534781-c095-421e-8bd1-efa6e5a88fdd sucessfully from servis@nwtis.nastava.foi.hr to admin@nwtis.nastava.foi.hr in folder INBOX
INFO  11:10:31,508 | james.imapserver | ID=1752450451 Connection closed for 127.0.0.1
INFO  11:10:33,998 | james.imapserver | ID=342948469 Connection established from 127.0.0.1
INFO  11:10:40,892 | james.imapserver | ID=814657973 Connection established from 127.0.0.1
INFO  11:10:43,964 | james.imapserver | ID=342948469 Connection closed for 127.0.0.1
INFO  11:10:43,972 | james.imapserver | ID=8854080 Connection established from 127.0.0.1
INFO  11:10:44,114 | james.imapserver | ID=8854080 Connection closed for 127.0.0.1
INFO  11:10:44,141 | james.smtpserver | Id='2019192848' User='' Connection established from 127.0.0.1
INFO  11:10:44,259 | james.smtpserver | Id='2019192848' User='' Successfully spooled mail Mail1493457044201-53a5674a-9407-4ad0-ab04-54e32db8dc9f from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  11:10:44,365 | james.smtpserver | Id='2019192848' User='' Connection closed for 127.0.0.1
INFO  11:10:44,385 | james.imapserver | ID=1917369591 Connection established from 127.0.0.1
INFO  11:10:44,638 | james.mailetcontext | Local delivered mail Mail1493457044201-53a5674a-9407-4ad0-ab04-54e32db8dc9f sucessfully from servis@nwtis.nastava.foi.hr to admin@nwtis.nastava.foi.hr in folder INBOX
INFO  11:10:54,344 | james.imapserver | ID=1917369591 Connection closed for 127.0.0.1
INFO  11:10:54,351 | james.imapserver | ID=1071143511 Connection established from 127.0.0.1
INFO  11:10:54,498 | james.imapserver | ID=1071143511 Connection closed for 127.0.0.1
INFO  11:10:54,524 | james.smtpserver | Id='379846534' User='' Connection established from 127.0.0.1
INFO  11:10:54,576 | james.smtpserver | Id='379846534' User='' Successfully spooled mail Mail1493457054572-d677dc97-9c52-42f9-aaf1-358679e54a88 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  11:10:54,599 | james.imapserver | ID=1836048494 Connection established from 127.0.0.1
INFO  11:10:54,601 | james.smtpserver | Id='379846534' User='' Connection closed for 127.0.0.1
INFO  11:10:54,781 | james.mailetcontext | Local delivered mail Mail1493457054572-d677dc97-9c52-42f9-aaf1-358679e54a88 sucessfully from servis@nwtis.nastava.foi.hr to admin@nwtis.nastava.foi.hr in folder INBOX
INFO  11:11:04,607 | james.imapserver | ID=1836048494 Connection closed for 127.0.0.1
INFO  11:11:04,620 | james.imapserver | ID=1490476544 Connection established from 127.0.0.1
INFO  11:11:04,754 | james.imapserver | ID=1490476544 Connection closed for 127.0.0.1
INFO  11:11:04,771 | james.smtpserver | Id='330628145' User='' Connection established from 127.0.0.1
INFO  11:11:04,819 | james.smtpserver | Id='330628145' User='' Successfully spooled mail Mail1493457064808-0fccdc44-d98a-4c86-b6d9-f00ea4015fb6 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  11:11:04,843 | james.smtpserver | Id='330628145' User='' Connection closed for 127.0.0.1
INFO  11:11:04,889 | james.imapserver | ID=1171607376 Connection established from 127.0.0.1
INFO  11:11:04,993 | james.mailetcontext | Local delivered mail Mail1493457064808-0fccdc44-d98a-4c86-b6d9-f00ea4015fb6 sucessfully from servis@nwtis.nastava.foi.hr to admin@nwtis.nastava.foi.hr in folder INBOX
INFO  11:11:14,839 | james.imapserver | ID=1171607376 Connection closed for 127.0.0.1
INFO  11:11:14,844 | james.imapserver | ID=125843878 Connection established from 127.0.0.1
INFO  11:11:14,927 | james.imapserver | ID=125843878 Connection closed for 127.0.0.1
INFO  11:11:14,935 | james.smtpserver | Id='833013159' User='' Connection established from 127.0.0.1
INFO  11:11:14,973 | james.smtpserver | Id='833013159' User='' Successfully spooled mail Mail1493457074967-36fa281d-a73b-48a8-a5fa-0924b0574711 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  11:11:14,997 | james.smtpserver | Id='833013159' User='' Connection closed for 127.0.0.1
INFO  11:11:14,999 | james.imapserver | ID=1647040734 Connection established from 127.0.0.1
INFO  11:11:15,096 | james.mailetcontext | Local delivered mail Mail1493457074967-36fa281d-a73b-48a8-a5fa-0924b0574711 sucessfully from servis@nwtis.nastava.foi.hr to admin@nwtis.nastava.foi.hr in folder INBOX
INFO  11:11:24,993 | james.imapserver | ID=1647040734 Connection closed for 127.0.0.1
INFO  11:11:24,999 | james.imapserver | ID=1264940948 Connection established from 127.0.0.1
INFO  11:11:25,058 | james.imapserver | ID=1264940948 Connection closed for 127.0.0.1
INFO  11:11:25,070 | james.smtpserver | Id='141959224' User='' Connection established from 127.0.0.1
INFO  11:11:25,099 | james.smtpserver | Id='141959224' User='' Successfully spooled mail Mail1493457085095-cab2c8a4-a6a4-4ec0-822d-a5f2034ae47b from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  11:11:25,109 | james.smtpserver | Id='141959224' User='' Connection closed for 127.0.0.1
INFO  11:11:25,121 | james.imapserver | ID=658523481 Connection established from 127.0.0.1
INFO  11:11:25,238 | james.mailetcontext | Local delivered mail Mail1493457085095-cab2c8a4-a6a4-4ec0-822d-a5f2034ae47b sucessfully from servis@nwtis.nastava.foi.hr to admin@nwtis.nastava.foi.hr in folder INBOX
INFO  11:11:35,107 | james.imapserver | ID=658523481 Connection closed for 127.0.0.1
INFO  11:11:35,113 | james.imapserver | ID=2076179654 Connection established from 127.0.0.1
INFO  11:11:35,173 | james.imapserver | ID=2076179654 Connection closed for 127.0.0.1
INFO  11:11:35,187 | james.smtpserver | Id='115465025' User='' Connection established from 127.0.0.1
INFO  11:11:35,230 | james.smtpserver | Id='115465025' User='' Successfully spooled mail Mail1493457095224-a5fdf8a1-4901-409d-9c27-55a2bfdfd777 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  11:11:35,237 | james.smtpserver | Id='115465025' User='' Connection closed for 127.0.0.1
INFO  11:11:35,254 | james.imapserver | ID=1240001863 Connection established from 127.0.0.1
INFO  11:11:35,408 | james.mailetcontext | Local delivered mail Mail1493457095224-a5fdf8a1-4901-409d-9c27-55a2bfdfd777 sucessfully from servis@nwtis.nastava.foi.hr to admin@nwtis.nastava.foi.hr in folder INBOX
INFO  11:11:45,243 | james.imapserver | ID=1240001863 Connection closed for 127.0.0.1
INFO  11:11:45,255 | james.imapserver | ID=1628482933 Connection established from 127.0.0.1
INFO  11:11:45,321 | james.imapserver | ID=1628482933 Connection closed for 127.0.0.1
INFO  11:11:45,333 | james.smtpserver | Id='998998668' User='' Connection established from 127.0.0.1
INFO  11:11:45,360 | james.smtpserver | Id='998998668' User='' Successfully spooled mail Mail1493457105357-acc9ae7c-96ef-4558-9287-e3e3b34dde76 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  11:11:45,369 | james.smtpserver | Id='998998668' User='' Connection closed for 127.0.0.1
INFO  11:11:45,380 | james.imapserver | ID=1003999318 Connection established from 127.0.0.1
INFO  11:11:45,484 | james.mailetcontext | Local delivered mail Mail1493457105357-acc9ae7c-96ef-4558-9287-e3e3b34dde76 sucessfully from servis@nwtis.nastava.foi.hr to admin@nwtis.nastava.foi.hr in folder INBOX
INFO  11:11:55,370 | james.imapserver | ID=1003999318 Connection closed for 127.0.0.1
INFO  11:11:55,378 | james.imapserver | ID=1404026984 Connection established from 127.0.0.1
INFO  11:11:55,496 | james.imapserver | ID=1404026984 Connection closed for 127.0.0.1
INFO  11:11:55,504 | james.smtpserver | Id='1599143464' User='' Connection established from 127.0.0.1
INFO  11:11:55,557 | james.smtpserver | Id='1599143464' User='' Successfully spooled mail Mail1493457115546-102e31f6-074b-4958-aae3-2d8e7bea61e4 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  11:11:55,593 | james.smtpserver | Id='1599143464' User='' Connection closed for 127.0.0.1
INFO  11:11:55,594 | james.imapserver | ID=1069957503 Connection established from 127.0.0.1
INFO  11:11:55,972 | james.mailetcontext | Local delivered mail Mail1493457115546-102e31f6-074b-4958-aae3-2d8e7bea61e4 sucessfully from servis@nwtis.nastava.foi.hr to admin@nwtis.nastava.foi.hr in folder INBOX
INFO  11:12:05,576 | james.imapserver | ID=1069957503 Connection closed for 127.0.0.1
INFO  11:12:05,582 | james.imapserver | ID=537019641 Connection established from 127.0.0.1
INFO  11:12:05,637 | james.imapserver | ID=537019641 Connection closed for 127.0.0.1
INFO  11:12:05,647 | james.smtpserver | Id='309272167' User='' Connection established from 127.0.0.1
INFO  11:12:05,669 | james.smtpserver | Id='309272167' User='' Successfully spooled mail Mail1493457125665-fca619bf-c4d9-4c44-9f5a-d5085aeda2f3 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  11:12:05,675 | james.smtpserver | Id='309272167' User='' Connection closed for 127.0.0.1
INFO  11:12:05,682 | james.imapserver | ID=608535743 Connection established from 127.0.0.1
INFO  11:12:05,817 | james.mailetcontext | Local delivered mail Mail1493457125665-fca619bf-c4d9-4c44-9f5a-d5085aeda2f3 sucessfully from servis@nwtis.nastava.foi.hr to admin@nwtis.nastava.foi.hr in folder INBOX
INFO  11:12:15,676 | james.imapserver | ID=608535743 Connection closed for 127.0.0.1
INFO  11:12:15,681 | james.imapserver | ID=9076817 Connection established from 127.0.0.1
INFO  11:12:15,750 | james.imapserver | ID=9076817 Connection closed for 127.0.0.1
INFO  11:12:15,764 | james.smtpserver | Id='98051570' User='' Connection established from 127.0.0.1
INFO  11:12:15,795 | james.smtpserver | Id='98051570' User='' Successfully spooled mail Mail1493457135789-a1f2f040-6f2b-4e34-a2a3-b301fc0426c1 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  11:12:15,814 | james.smtpserver | Id='98051570' User='' Connection closed for 127.0.0.1
INFO  11:12:15,831 | james.imapserver | ID=248188579 Connection established from 127.0.0.1
INFO  11:12:16,002 | james.mailetcontext | Local delivered mail Mail1493457135789-a1f2f040-6f2b-4e34-a2a3-b301fc0426c1 sucessfully from servis@nwtis.nastava.foi.hr to admin@nwtis.nastava.foi.hr in folder INBOX
INFO  11:12:25,808 | james.imapserver | ID=248188579 Connection closed for 127.0.0.1
INFO  11:12:25,814 | james.imapserver | ID=19588349 Connection established from 127.0.0.1
INFO  11:12:25,867 | james.imapserver | ID=19588349 Connection closed for 127.0.0.1
INFO  11:12:25,875 | james.smtpserver | Id='563759595' User='' Connection established from 127.0.0.1
INFO  11:12:25,899 | james.smtpserver | Id='563759595' User='' Successfully spooled mail Mail1493457145895-196778db-8ade-4416-87c8-58c481aec28d from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  11:12:25,906 | james.smtpserver | Id='563759595' User='' Connection closed for 127.0.0.1
INFO  11:12:25,914 | james.imapserver | ID=1231702939 Connection established from 127.0.0.1
INFO  11:12:26,082 | james.mailetcontext | Local delivered mail Mail1493457145895-196778db-8ade-4416-87c8-58c481aec28d sucessfully from servis@nwtis.nastava.foi.hr to admin@nwtis.nastava.foi.hr in folder INBOX
INFO  11:12:35,907 | james.imapserver | ID=1231702939 Connection closed for 127.0.0.1
INFO  11:12:35,914 | james.imapserver | ID=2035379842 Connection established from 127.0.0.1
INFO  11:12:35,985 | james.imapserver | ID=2035379842 Connection closed for 127.0.0.1
INFO  11:12:35,998 | james.smtpserver | Id='827498306' User='' Connection established from 127.0.0.1
INFO  11:12:36,019 | james.smtpserver | Id='827498306' User='' Successfully spooled mail Mail1493457156016-f93cf49f-6320-4f23-a32d-f603d977f1ab from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  11:12:36,028 | james.smtpserver | Id='827498306' User='' Connection closed for 127.0.0.1
INFO  11:12:36,032 | james.imapserver | ID=1794137813 Connection established from 127.0.0.1
INFO  11:12:36,148 | james.mailetcontext | Local delivered mail Mail1493457156016-f93cf49f-6320-4f23-a32d-f603d977f1ab sucessfully from servis@nwtis.nastava.foi.hr to admin@nwtis.nastava.foi.hr in folder INBOX
INFO  11:12:46,027 | james.imapserver | ID=1794137813 Connection closed for 127.0.0.1
INFO  11:12:46,036 | james.imapserver | ID=1678093893 Connection established from 127.0.0.1
INFO  11:12:46,100 | james.imapserver | ID=1678093893 Connection closed for 127.0.0.1
INFO  11:12:46,111 | james.smtpserver | Id='1851958847' User='' Connection established from 127.0.0.1
INFO  11:12:46,136 | james.smtpserver | Id='1851958847' User='' Successfully spooled mail Mail1493457166130-cc65fdd8-e6e9-457f-96b3-ca8e44086c67 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  11:12:46,141 | james.smtpserver | Id='1851958847' User='' Connection closed for 127.0.0.1
INFO  11:12:46,148 | james.imapserver | ID=310868488 Connection established from 127.0.0.1
INFO  11:12:46,246 | james.mailetcontext | Local delivered mail Mail1493457166130-cc65fdd8-e6e9-457f-96b3-ca8e44086c67 sucessfully from servis@nwtis.nastava.foi.hr to admin@nwtis.nastava.foi.hr in folder INBOX
INFO  11:12:54,904 | james.imapserver | ID=310868488 Connection closed for 127.0.0.1
INFO  11:12:59,512 | james.imapserver | ID=1523654138 Connection established from 127.0.0.1
INFO  11:13:09,499 | james.imapserver | ID=1523654138 Connection closed for 127.0.0.1
INFO  11:13:09,509 | james.imapserver | ID=1163624917 Connection established from 127.0.0.1
INFO  11:13:09,561 | james.imapserver | ID=1163624917 Connection closed for 127.0.0.1
INFO  11:13:09,604 | james.smtpserver | Id='820537632' User='' Connection established from 127.0.0.1
INFO  11:13:09,627 | james.smtpserver | Id='820537632' User='' Successfully spooled mail Mail1493457189623-8a992466-d935-492e-b1cb-3b10a8cb3b20 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  11:13:09,634 | james.smtpserver | Id='820537632' User='' Connection closed for 127.0.0.1
INFO  11:13:09,646 | james.imapserver | ID=2068196598 Connection established from 127.0.0.1
INFO  11:13:09,763 | james.mailetcontext | Local delivered mail Mail1493457189623-8a992466-d935-492e-b1cb-3b10a8cb3b20 sucessfully from servis@nwtis.nastava.foi.hr to admin@nwtis.nastava.foi.hr in folder INBOX
INFO  11:13:19,635 | james.imapserver | ID=2068196598 Connection closed for 127.0.0.1
INFO  11:13:19,640 | james.imapserver | ID=568823677 Connection established from 127.0.0.1
INFO  11:13:19,752 | james.imapserver | ID=568823677 Connection closed for 127.0.0.1
INFO  11:13:19,772 | james.smtpserver | Id='1966155115' User='' Connection established from 127.0.0.1
INFO  11:13:19,806 | james.smtpserver | Id='1966155115' User='' Successfully spooled mail Mail1493457199802-5bb7c6fd-5c90-49b7-9b2b-15421983ef0f from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  11:13:19,820 | james.smtpserver | Id='1966155115' User='' Connection closed for 127.0.0.1
INFO  11:13:19,826 | james.imapserver | ID=344898153 Connection established from 127.0.0.1
INFO  11:13:19,918 | james.mailetcontext | Local delivered mail Mail1493457199802-5bb7c6fd-5c90-49b7-9b2b-15421983ef0f sucessfully from servis@nwtis.nastava.foi.hr to admin@nwtis.nastava.foi.hr in folder INBOX
INFO  11:13:29,819 | james.imapserver | ID=344898153 Connection closed for 127.0.0.1
INFO  11:13:29,824 | james.imapserver | ID=1852249694 Connection established from 127.0.0.1
INFO  11:13:29,871 | james.imapserver | ID=1852249694 Connection closed for 127.0.0.1
INFO  11:13:29,883 | james.smtpserver | Id='962275792' User='' Connection established from 127.0.0.1
INFO  11:13:29,910 | james.smtpserver | Id='962275792' User='' Successfully spooled mail Mail1493457209902-94dab069-9c21-48f3-bb4a-fe98d9b65711 from servis@nwtis.nastava.foi.hr on lmlicenses.wip4.adobe.com/127.0.0.1 for [admin@nwtis.nastava.foi.hr]
INFO  11:13:29,921 | james.smtpserver | Id='962275792' User='' Connection closed for 127.0.0.1
INFO  11:13:29,963 | james.imapserver | ID=2033074208 Connection established from 127.0.0.1
INFO  11:13:30,102 | james.mailetcontext | Local delivered mail Mail1493457209902-94dab069-9c21-48f3-bb4a-fe98d9b65711 sucessfully from servis@nwtis.nastava.foi.hr to admin@nwtis.nastava.foi.hr in folder INBOX
INFO  11:13:39,922 | james.imapserver | ID=2033074208 Connection closed for 127.0.0.1
INFO  11:13:39,927 | james.imapserver | ID=1805002500 Connection established from 127.0.0.1
INFO  11:13:39,987 | james.imapserver | ID=1805002500 Connection closed for 127.0.0.1
